Symbol,WeightPct,FFMC,LastPrice,PChange
ABBOTINDIA,1.5751220235639216,138273527034.63,26625.0,1.24
AJANTPHARM,1.4700235487936615,129047361331.25,3072.0,-0.78
ALKEM,3.690747362810038,323995631839.88,5552.5,-0.08
AUROPHARMA,4.698576692585859,412468851052.28,1479.7,-0.29
BIOCON,3.0993847147677553,272082321075.34,382.3,0.45
CIPLA,8.6978252841833,763546545336.08,1361.0,-0.25
DIVISLAB,9.650868281690968,847210296277.02,6685.5,-0.25
DRREDDY,9.044095539002404,793944196263.9,1306.5,-0.34
GLAND,1.691456131268607,148486023048.34,1871.0,3.28
GLENMARK,4.0535376488738315,355843508815.43,2370.0,-0.32
IPCALAB,2.456394934778432,215636875328.11,1557.0,-0.47
JBCHEPHARM,1.995613706018464,175186773851.0,2146.1,0.21
LAURUSLABS,5.321347894183681,467139390408.77,1204.0,2.24
LUPIN,6.7856204624061505,595681896652.23,2462.0,0.78
MANKIND,3.0561391444118553,268285969140.52,2377.7,0.71
PPLPHARMA,1.2923434449634326,113449550956.6,183.6,11.14
SUNPHARMA,22.04628776181173,1935353528959.4,1833.0,-0.93
TORNTPHARM,5.1707764055811785,453921334608.36,4352.0,-0.14
WOCKPHARMA,1.5314240064028724,134437456643.33,1632.0,-4.94
ZYDUSLIFE,2.6724150119018564,234600395314.05,940.45,0.18
