Symbol,WeightPct,FFMC,LastPrice,PChange
AXISBANK,12.208352787704104,3709584243822.28,1296.0,0.14
BANDHANBNK,0.6087817686610849,184982142654.49,208.15,-0.35
FEDERALBNK,2.3946844004847336,727639811483.18,296.3,1.13
HDFCBANK,39.96673476050518,12144141975805.07,795.55,-0.13
ICICIBANK,30.04858988110593,9130451708791.97,1279.0,-0.04
IDFCFIRSTB,1.5396916308430142,467844918429.36,70.81,1.75
INDUSINDBK,2.0532751693608313,623900484278.59,950.0,0.34
KOTAKBANK,9.191971636706176,2793037991786.2,380.45,1.02
RBLBANK,0.6923288869724888,210368456360.7,349.45,4.05
YESBANK,1.2955890776564627,393672833060.92,22.48,1.58
