Symbol,WeightPct,FFMC,LastPrice,PChange
BEL,11.924013261608753,1574754682901.26,440.9,0.62
BHEL,4.480491300843227,591719792900.44,406.5,5.32
BPCL,4.716411028103281,622876726991.39,308.2,-1.86
COALINDIA,7.987900788979696,1054928730622.64,465.95,-0.9
CONCOR,1.3743699446852378,181507304541.51,527.25,0.58
GAIL,3.411958798193674,450603163334.35,167.52,1.11
HAL,6.869157196287177,907180931881.88,4795.0,3.63
HINDPETRO,2.889161504462992,381559505930.75,398.45,-0.19
IOC,4.145147866678753,547432384647.47,146.93,-0.86
IRCTC,1.2982651561583425,171456462640.0,569.95,-0.49
IRFC,1.6221132182650315,214225725065.51,106.8,0.06
NHPC,1.9501389085138932,257546709410.14,81.64,-2.41
NMDC,2.3501504189744367,310374560695.77,90.05,0.98
NTPC,14.315222268575964,1890551680011.38,399.9,1.28
OIL,1.8656195862084932,246384595139.05,453.0,0.61
ONGC,8.318398372759841,1098576167632.88,283.6,1.0
PFC,5.025096196725031,663643489335.94,457.05,-1.48
POWERGRID,10.73811667909084,1418138268965.41,314.0,-0.62
RECLTD,3.3938085516794962,448206136002.45,359.85,0.21
RVNL,1.3244589532058437,174915768132.08,309.0,1.28
