Symbol,WeightPct,FFMC,LastPrice,PChange
BANKBARODA,7.182674206900621,499416714497.2,269.95,-0.13
BANKINDIA,2.446225122053229,170087863960.56,140.36,-1.39
CANBK,6.5726380151792565,457000441418.69,135.93,-1.53
CENTRALBK,0.5208805869657096,36217217138.69,37.3,1.55
INDIANB,4.358764546749714,303068161871.14,860.0,-0.79
IOB,0.735041404554039,51107979104.65,35.1,-0.2
MAHABANK,2.499751498926094,173809593013.94,85.6,2.36
PNB,5.3941358944011375,375058306743.9,109.08,-1.0
PSB,0.16311012004520148,11341168749.65,25.98,1.8
SBIN,65.04380287237275,4522544304977.05,1092.9,-0.28
UCOBANK,0.4454832119230051,30974781210.11,27.32,1.3
UNIONBANK,4.637492519929203,322448326499.8,167.34,-0.84
