Symbol,WeightPct,FFMC,LastPrice,PChange
ACC,0.144864363560484,84719198383.99,1416.8,0.2
ADANIGREEN,0.7821585377995469,457419911308.31,1368.2,1.12
ADANIPOWER,1.6242411705384006,949884475161.72,230.3,0.52
AMBUJACEM,0.4698834212950473,274795994043.23,451.85,1.11
ASHOKLEY,0.8298685519216937,485321557040.73,170.1,1.37
ASIANPAINT,1.9551883104485772,1143428116341.34,2536.0,0.67
ASTRAL,0.3293859472084779,192630628545.18,1578.2,0.13
BAJAJ-AUTO,2.0007762808129192,1170088753990.9,10590.0,2.63
BAJFINANCE,4.443609749675043,2598700237043.27,973.6,-0.73
BANDHANBNK,0.316307529779005,184982142654.49,208.15,-0.35
BANKBARODA,0.8539703618203365,499416714497.2,269.95,-0.13
BANKINDIA,0.29083927411977306,170087863960.56,140.36,-1.39
BERGEPAINT,0.23764270904876408,138977587845.51,489.35,2.28
BHARTIARTL,9.575910875323205,5600159164163.2,1829.6,-0.22
BLUESTARCO,0.38712249622233963,226395966200.98,1750.0,-3.13
BRITANNIA,1.182362622280434,691466217755.95,5885.5,1.77
CHOLAFIN,1.2342405447021187,721805328724.1,1689.2,-1.33
COLPAL,0.48731553028637153,284990594451.43,2170.0,0.6
COROMANDEL,0.3966709444726881,231980064744.6,1968.0,-2.48
CROMPTON,0.3187582216589194,186415349872.95,291.0,2.45
CUMMINSIND,1.247246442107693,729411403644.0,5415.0,1.7
DABUR,0.4701813018119718,274970199748.4,467.0,0.16
DALBHARAT,0.2683742516434512,156949928245.42,1975.0,0.02
DIXON,0.7792034308368491,455691713379.81,11075.0,-1.98
EICHERMOT,1.7228544833052033,1007555254932.93,7342.0,0.43
ESCORTS,0.1889134131346642,110479848400.19,3337.0,0.6
GODREJCP,0.7109515944566356,415776852856.14,1036.5,-5.26
GRASIM,1.9183836891983193,1121904133958.7,2955.2,1.39
HAVELLS,0.5471821926687146,320001659438.71,1272.3,1.19
HDFCLIFE,1.1516267707386096,673491357408.84,628.0,3.57
HEROMOTOCO,1.184733731692513,692852883763.62,5352.5,3.53
HINDUNILVR,3.4394201891228646,2011432723456.11,2273.0,-1.9
HYUNDAI,0.44770443466519555,261825337064.05,1841.4,0.08
ICICIPRULI,0.3794691171119109,221920137037.56,564.35,2.59
IDEA,0.5286899247597,309187059663.8,11.23,-0.62
INDIANB,0.5182270042961744,303068161871.14,860.0,-0.79
IRCTC,0.29317948956619616,171456462640.0,569.95,-0.49
ITC,5.054614098882866,2956026203221.32,307.55,-1.01
JKCEMENT,0.4003566108518969,234135506521.19,5611.0,1.62
JSWENERGY,0.5303319305180596,310147333178.77,577.0,1.6
LICHSGFIN,0.3016859249607515,176431173949.39,588.5,1.09
LICI,0.3066831774141712,179353654065.07,810.25,0.37
LTF,0.4417637731215962,258351134910.57,303.95,1.22
M&M,5.128826577745696,2999426951098.99,3366.0,1.98
M&MFIN,0.3689162590963344,215748642200.83,327.0,-0.11
MARICO,0.7508095485076749,439086477345.12,832.0,2.11
MARUTI,3.0809312516699663,1801782160239.04,13770.0,0.35
MFSL,0.7733652946078219,452277469812.77,1710.0,3.46
MUTHOOTFIN,0.6545355513944838,382783770038.87,3579.4,1.3
NESTLEIND,1.803892789833458,1054947865501.39,1475.5,-0.71
NHPC,0.44038825741353405,257546709410.14,81.64,-2.41
NTPC,3.2327214034972287,1890551680011.38,399.9,1.28
PATANJALI,0.27187316342790346,158996152688.13,460.5,0.1
PIIND,0.42806229518074596,250338272400.46,3099.0,0.91
PIRAMALFIN,0.39401186346725847,230424987942.54,1921.9,-0.65
PNB,0.6413255075699049,375058306743.9,109.08,-1.0
PNBHOUSING,0.33666873045873624,196889726806.49,1050.5,-1.37
POONAWALLA,0.27484980143107135,160736942343.43,453.15,0.32
SBICARD,0.3312487265939367,193720014315.59,648.0,-0.25
SBILIFE,1.4360338510463346,839817562599.68,1875.0,0.86
SBIN,7.733258988654466,4522544304977.05,1092.9,-0.28
SHREECEM,0.5849712368221046,342101349450.02,25650.0,2.7
SHRIRAMFIN,2.4189322049963624,1414633608402.57,1013.0,0.89
SUNDARMFIN,0.5533801781409454,323626349099.42,4713.0,0.28
SUPREMEIND,0.4029131944401295,235630641051.68,3669.3,-1.08
TATACOMM,0.3200165055865113,187151216190.0,1598.0,0.44
TATACONSUM,1.283927417343873,750863075687.93,1156.4,0.36
TATAPOWER,1.25529459400662,734118102797.55,439.75,-0.79
TMCV,1.5477020880497,905123089033.92,434.3,1.06
TMPV,1.2806355635266309,748937942344.3,358.6,0.13
TORNTPOWER,0.5545777712009681,324326722341.96,1711.0,-1.33
TVSMOTOR,7.422474245227541,4340791983798.97,3707.1,2.47
ULTRACEMCO,2.447555096356931,1431372772900.31,12121.0,0.23
UPL,0.623479839745091,364621849939.85,652.0,-1.21
VOLTAS,0.5295257831198332,309675884164.82,1363.0,-1.2
