Symbol,WeightPct,FFMC,LastPrice,PChange
ASIANPAINT,5.523134959106233,1143428116341.34,2536.0,0.67
CGPOWER,2.8432685510030486,588628238780.55,860.35,3.79
CIPLA,3.6881816680739825,763546545336.08,1361.0,-0.25
COFORGE,2.077540458026626,430103227629.39,1284.0,0.28
CUMMINSIND,3.523297674301969,729411403644.0,5415.0,1.7
DIXON,2.2011412845052942,455691713379.81,11075.0,-1.98
DRREDDY,3.835012348651748,793944196263.9,1306.5,-0.34
GAIL,2.176561909339001,450603163334.35,167.52,1.11
GODREJCP,2.008339342349518,415776852856.14,1036.5,-5.26
HAVELLS,1.545713566912441,320001659438.71,1272.3,1.19
HCLTECH,6.0100696426298645,1244235866303.11,1182.4,-0.56
HEROMOTOCO,3.3467079645346516,692852883763.62,5352.5,3.53
HINDUNILVR,9.715883520826667,2011432723456.11,2273.0,-1.9
LTM,1.8994831146203661,393240870602.23,4250.0,-1.53
LUPIN,2.8773400451563553,595681896652.23,2462.0,0.78
MOTHERSON,2.7926501072813275,578148945374.65,131.0,2.82
NESTLEIND,5.095746162538691,1054947865501.39,1475.5,-0.71
ONGC,5.3064852525305515,1098576167632.88,283.6,1.0
PERSISTENT,2.614874390335532,541344892121.63,4989.5,-0.49
PIDILITIND,2.182755330856586,451885357659.13,1461.1,2.79
SRF,1.9406819278827598,401770063133.81,2775.4,2.05
TATACONSUM,3.6269163260596473,750863075687.93,1156.4,0.36
TCS,11.819904457137511,2447018077383.07,2403.0,-1.33
TECHM,4.434307367159961,918013366982.93,1450.0,-1.14
ULTRACEMCO,6.914002628179648,1431372772900.31,12121.0,0.23
