Symbol,WeightPct,FFMC,LastPrice,PChange
ABSLAMC,0.7813343061563373,79333387663.15,1092.0,2.37
ACE,0.36662811507979143,37225871374.98,907.0,2.19
AEGISLOG,0.9118931098537822,92589777540.0,740.0,0.67
AFFLE,0.9242839998421475,93847896211.09,1484.0,3.47
AMBER,1.8879154534721954,191690966805.69,8820.0,1.83
ANANDRATHI,1.5142166590057273,153747168489.06,3615.8,-0.07
ANANTRAJ,0.8339779418685191,84678600239.95,556.5,-0.03
ANGELONE,2.051827512991326,208333905504.32,322.0,1.63
ARE&M,1.0845752838270428,110123196644.21,902.0,2.38
ASAHIINDIA,1.002573313650439,101797062698.85,842.2,0.1
ASTRAZEN,0.519191506359559,52716514200.0,8572.0,2.26
BEML,0.7567634884393082,76838570538.41,2015.0,6.17
BLS,0.34868784897298755,35404292475.12,292.75,2.11
BSOFT,0.595626646876595,60477415757.69,365.65,-1.84
CAMS,1.9717441207246806,200202575862.18,835.0,2.35
CANFINHOME,0.7332812756519966,74454285763.55,886.05,-1.91
CASTROLIND,0.8807618976027785,89428845643.79,185.7,-0.19
CCL,0.8331849144746144,84598079585.51,1202.0,2.01
CDSL,2.22191712205431,225604086510.0,1270.0,-1.0
CEATLTD,0.6919591772002346,70258614295.27,3364.9,0.23
CGCL,0.7529167053860479,76447984423.33,198.35,-1.08
CHAMBLFERT,0.6699796212260573,68026902950.94,453.9,0.28
CHENNPETRO,0.5096191045623073,51744572923.82,1078.9,0.6
CHOICEIN,0.5358404562340529,54406978299.9,689.0,0.55
CREDITACC,0.789319372679818,80144157615.31,1485.0,0.91
CROMPTON,1.8359572475124153,186415349872.95,291.0,2.45
CUB,1.9216345894255848,195114665551.77,271.0,-0.73
CYIENT,0.744136038387313,75556432556.91,894.7,-0.67
DATAPATTNS,1.2314801423772024,125039295938.88,4235.0,1.52
ECLERX,0.6457164840102055,65563326405.66,1605.0,1.49
ELECON,0.4879408346154134,49543452891.06,565.5,1.41
EMAMILTD,0.8784742634662243,89196568929.0,454.0,0.4
ENGINERSIN,0.7039396544096705,71475061385.02,261.7,-0.25
ERIS,0.7455683019315933,75701858552.03,1382.1,0.74
FORCEMOT,0.978490342267041,99351779431.77,20696.0,2.59
FSL,0.7360301128346746,74733391089.04,235.9,-3.09
GESHIP,1.5180616638823563,154137574055.59,1559.7,-0.98
GILLETTE,0.6350366212961804,64478938222.26,7950.0,0.63
GLAND,1.462400979080818,148486023048.34,1871.0,3.28
GMDCLTD,0.5724769811047833,58126896403.2,704.4,0.66
GODREJAGRO,0.2770307779664525,28128535928.69,588.95,1.47
GPIL,0.7340264136676554,74529943932.65,304.7,0.03
GRAVITA,0.5626808826575587,57132241913.34,1810.0,0.86
GRSE,0.89068615605863,90436512960.0,3096.0,2.48
HBLENGINE,0.9406412944616515,95508746867.39,849.95,-0.55
HINDCOPPER,1.8315120102060463,185963999238.91,568.25,3.22
HOMEFIRST,1.0823924028784204,109901556125.99,1215.0,-0.95
HSCL,1.42169332901922,144352740076.19,616.6,-2.92
IEX,1.0443898282311759,106042935094.08,133.8,3.08
IIFL,1.0619028494405407,107821133350.33,465.0,2.15
INDIAMART,0.6283121863306839,63796167477.74,2091.2,1.67
INTELLECT,0.6778521426507592,68826245548.79,790.0,0.71
IRCON,0.518100223286512,52605709922.75,161.89,1.71
J&KBANK,0.6065716099333534,61588721110.98,138.5,1.18
JINDALSAW,0.552665988241712,56115371804.3,242.1,-0.06
JSWDULUX,0.5021745004866716,50988679247.48,2964.5,-1.06
JWL,0.404838056218797,41105547525.23,303.5,1.76
KAJARIACER,0.89361467373657,90733862284.6,1099.0,-1.06
KIRLOSBROS,0.43730062545797377,44401659790.75,1760.0,0.87
LALPATHLAB,1.1827402233232653,120090450275.11,1546.1,-2.53
LATENTVIEW,0.2209049526196866,22429756513.7,310.9,2.3
LAURUSLABS,4.600736741926223,467139390408.77,1204.0,2.24
LTFOODS,0.5834966938862488,59245791528.04,432.0,0.75
MANAPPURAM,1.709007113191962,173525369053.5,317.05,2.29
MAPMYINDIA,0.1651444879044998,16768074275.16,970.3,1.87
MCX,7.654634629259538,777219292277.32,3055.0,2.75
METROPOLIS,0.5282527820597652,53636557889.6,506.8,0.08
MGL,0.6628530783341264,67303303864.75,1185.0,1.56
MSUMI,1.0711467043728091,108759715364.54,42.9,2.29
NATCOPHARM,1.0180444186317932,103367933399.64,1155.5,0.47
NAVA,0.9805480225966436,99560707607.57,719.7,2.98
NAVINFLUOR,2.544615256121173,258369493028.55,7042.0,-0.01
NBCC,0.9884375795391901,100361779920.0,97.2,2.38
NCC,0.6824488520485155,69292976019.67,170.25,0.02
NEULANDLAB,1.4523536818452663,147465862893.75,17151.0,0.7
NEWGEN,0.31162397930850483,31640983585.16,499.05,1.22
NH,1.2554008127790652,127468099849.32,1850.0,0.52
OLECTRA,0.5116231863068796,51948058925.52,1273.0,-0.06
PGEL,0.8460974070559701,85909159582.36,535.95,-1.57
PNBHOUSING,1.9391167151067736,196889726806.49,1050.5,-1.37
POLYMED,0.6290905924345334,63875203548.1,1677.0,1.29
PRAJIND,0.4887872302776051,49629392334.21,403.15,0.34
RADICO,2.6255343218245293,266585673424.32,3414.9,1.72
RAILTEL,0.29889340270572134,30348374568.96,348.25,1.49
REDINGTON,1.3130684330241578,133323426610.82,225.02,0.8
RITES,0.302092152457038,30673162117.72,229.6,1.4
SARDAEN,0.5380699747137307,54633354196.18,596.0,1.26
SAREGAMA,0.25134827055868475,25520842524.87,350.0,-0.27
SONATSOFTW,0.5182216266467456,52618036707.54,271.0,0.44
SUMICHEM,0.5996195121746898,60882834447.34,497.5,0.43
TECHNOE,0.6345656290010164,64431115652.53,1288.5,0.16
TITAGARH,0.6656428436122892,67586564856.31,846.0,-0.05
TRITURBINE,0.6532164355309408,66324839827.97,576.75,3.49
USHAMART,0.8552348917122109,86836941207.7,478.0,1.86
UTIAMC,0.40049671381246776,40664745940.83,970.65,0.33
VIJAYA,0.5801639831097167,58907402142.19,1208.0,1.48
WELCORP,1.6723218388157417,169800501131.17,1299.4,1.14
WELSPUNLIV,0.4134328101385007,41978222562.29,132.49,-0.32
ZENSARTECH,0.581695549488134,59062910927.96,520.0,-0.95
ZENTEC,0.7335273080191502,74479266851.68,1620.0,3.37
