Symbol,WeightPct,FFMC,LastPrice,PChange
ABSLAMC,1.8703235861657124,79333387663.15,1092.0,2.37
ACE,0.8776182046305879,37225871374.98,907.0,2.19
AFFLE,2.212510255340633,93847896211.09,1484.0,3.47
ANGELONE,4.911574164930561,208333905504.32,322.0,1.63
APTUS,2.306284336025668,97825504979.31,276.95,3.57
ARE&M,2.59620845818615,110123196644.21,902.0,2.38
BAYERCROP,1.5567011385865854,66030485749.44,4658.7,0.17
BLS,0.8346735872276877,35404292475.12,292.75,2.11
BSOFT,1.4257847856218258,60477415757.69,365.65,-1.84
CAMS,4.719874074154695,200202575862.18,835.0,2.35
CANFINHOME,1.7552963620557989,74454285763.55,886.05,-1.91
CASTROLIND,2.1083289673868943,89428845643.79,185.7,-0.19
CDSL,5.318727166002744,225604086510.0,1270.0,-1.0
CHAMBLFERT,1.6037676548388193,68026902950.94,453.9,0.28
CLEAN,0.9932971619124608,42132617795.97,879.0,2.31
CYIENT,1.7812800141316525,75556432556.91,894.7,-0.67
ECLERX,1.545687627568005,65563326405.66,1605.0,1.49
ELGIEQUIP,2.830898160881895,120078013715.56,559.1,1.93
EMAMILTD,2.102852929731306,89196568929.0,454.0,0.4
ENGINERSIN,1.6850596838074958,71475061385.02,261.7,-0.25
FINCABLES,1.950450289633905,82732116565.16,1096.0,4.84
GILLETTE,1.5201226434457589,64478938222.26,7950.0,0.63
GPIL,1.7570800405589109,74529943932.65,304.7,0.03
GRAVITA,1.3469206689465387,57132241913.34,1810.0,0.86
GSPL,2.0268640676253575,85973354561.11,300.2,1.28
IEX,2.50001428774008,106042935094.08,133.8,3.08
INDIAMART,1.5040259877370448,63796167477.74,2091.2,1.67
JBCHEPHARM,4.130114252892274,175186773851.0,2146.1,0.21
JSWDULUX,1.2020831611139782,50988679247.48,2964.5,-1.06
KAJARIACER,2.139095375774866,90733862284.6,1099.0,-1.06
KARURVYSYA,7.141506972367765,302920812916.35,321.6,5.37
KIRLOSBROS,1.0467909415914138,44401659790.75,1760.0,0.87
LALPATHLAB,2.831191358882665,120090450275.11,1546.1,-2.53
LTFOODS,1.396748639380493,59245791528.04,432.0,0.75
MAPMYINDIA,0.39531558824353163,16768074275.16,970.3,1.87
METROPOLIS,1.264508200854993,53636557889.6,506.8,0.08
MGL,1.5867084509185794,67303303864.75,1185.0,1.56
MSUMI,2.5640637172166834,108759715364.54,42.9,2.29
PFIZER,1.6933730681230446,71827689639.07,4755.0,-0.59
POLYMED,1.5058893019217334,63875203548.1,1677.0,1.29
PRAJIND,1.170037304392847,49629392334.21,403.15,0.34
RAILTEL,0.7154778389034171,30348374568.96,348.25,1.49
RITES,0.7231348649151896,30673162117.72,229.6,1.4
SONATSOFTW,1.2404960636460705,52618036707.54,271.0,0.44
SUMICHEM,1.4353427303895998,60882834447.34,497.5,0.43
SUNTV,1.3261839568634142,56252654214.87,571.0,0.04
TIMKEN,2.934942724905391,124491264873.26,3479.4,1.02
TRITURBINE,1.5636406805874428,66324839827.97,576.75,3.49
UTIAMC,0.958691361845103,40664745940.83,970.65,0.33
ZENSARTECH,1.3924371393947101,59062910927.96,520.0,-0.95
