Symbol,WeightPct,FFMC,LastPrice,PChange
AARTIIND,0.8942231585988926,100225662795.89,489.0,-1.78
ABREL,0.7384537715570005,82766832850.08,1586.0,2.34
AEGISLOG,0.8260950440846857,92589777540.0,740.0,0.67
AFCONS,0.46278986644403164,51870073653.93,337.0,0.21
AFFLE,0.8373201018250919,93847896211.09,1484.0,3.47
AMBER,1.710285539951439,191690966805.69,8820.0,1.83
ANANDRATHI,1.3717472630927938,153747168489.06,3615.8,-0.07
ANANTRAJ,0.7555107470479724,84678600239.95,556.5,-0.03
ANGELONE,1.8587754655482889,208333905504.32,322.0,1.63
APTUS,0.8728087159900281,97825504979.31,276.95,3.57
ARE&M,0.9825299228874805,110123196644.21,902.0,2.38
ASTERDM,1.671452564780089,187338517825.3,742.0,1.5
ATHERENERG,1.5506748888683866,173801603127.0,911.5,1.55
BANDHANBNK,1.6504287552156975,184982142654.49,208.15,-0.35
BEML,0.6855612358384768,76838570538.41,2015.0,6.17
BLS,0.3158805575527616,35404292475.12,292.75,2.11
BRIGADE,0.9518380914409162,106683217350.93,769.85,-4.83
CAMS,1.7862269477997843,200202575862.18,835.0,2.35
CASTROLIND,0.7978929007863048,89428845643.79,185.7,-0.19
CDSL,2.0128617083095297,225604086510.0,1270.0,-1.0
CESC,1.0456210319779125,117194527960.46,186.4,0.75
CGCL,0.6820763883474406,76447984423.33,198.35,-1.08
CHAMBLFERT,0.6069426764517682,68026902950.94,453.9,0.28
CHOLAHLDNG,1.5497734080047267,173700564011.44,1757.0,1.4
COHANCE,0.7033962556620192,78837542121.29,485.9,0.97
CREDITACC,0.7150540067962401,80144157615.31,1485.0,0.91
CROMPTON,1.6632159700872822,186415349872.95,291.0,2.45
CUB,1.7408321147647738,195114665551.77,271.0,-0.73
DATAPATTNS,1.115612818556807,125039295938.88,4235.0,1.52
DEEPAKFERT,0.8023897676050474,89932860165.31,1346.0,3.99
DELHIVERY,2.4044417647474097,269492874579.0,483.9,2.74
DEVYANI,0.42595294097694925,47741344449.37,119.1,-1.57
FIRSTCRY,0.47038809765210554,52721693019.39,238.8,-0.44
FIVESTAR,0.8158046939178666,91436422076.15,473.0,-2.4
FORCEMOT,0.8864262858188958,99351779431.77,20696.0,2.59
FSL,0.6667786190503311,74733391089.04,235.9,-3.09
GESHIP,1.3752304997120217,154137574055.59,1559.7,-0.98
GLAND,1.3248068092947498,148486023048.34,1871.0,3.28
GMDCLTD,0.5186138504972961,58126896403.2,704.4,0.66
GPIL,0.6649634436379666,74529943932.65,304.7,0.03
GRSE,0.8068834070616611,90436512960.0,3096.0,2.48
