Symbol,WeightPct,FFMC,LastPrice,PChange
AAKAAR,0.053387737209294045,202708925.26,54.05,4.95
AARADHYA,0.11038610056399707,419127106.31,107.8,2.67
AATMAJ,0.03416370646616915,129716833.54,20.3,0.0
ABHAPOWER,0.043042830308477394,163430149.47,32.0,1.59
ABSMARINE,0.5741649913902298,2180058088.44,243.8,3.57
ACCENTMIC,1.2950894249133855,4917349922.71,460.0,2.2
ACCORD,0.011192827337787543,42498261.19,43.7,4.92
ACCPL,0.08721660248501907,331154393.85,112.5,4.17
ACTIVEINFR,0.20499129354589213,778335381.39,181.0,0.64
ADDICTIVE,0.12851555338629456,487963174.09,87.8,2.69
AERON,0.11820119275033891,448800380.0,100.0,-0.05
AESTHETIK,0.10039974053049076,381209704.01,72.75,-0.55
AGARWALFT,0.03207079527426819,121770218.82,39.6,4.62
AGARWALTUF,0.19306959984218264,733069673.49,126.4,0.96
AGNI,0.031120572431584656,118162299.45,20.55,0.0
AGUL,0.02495401901981773,94748394.31,58.85,3.52
AILIMITED,0.02640522950596796,100258523.29,44.5,0.0
AIMTRON,1.6888503004883018,6412428157.33,1093.0,1.24
AISL,0.04505843429593911,171083234.98,58.5,0.0
AKANKSHA,0.1854285662735153,704057286.31,97.0,-4.29
AKIKO,0.2612818797455476,992066189.76,281.6,4.88
ALCODIS,0.05584139021380912,212025247.5,82.5,0.0
ALLETEC,0.344076962374866,1306432429.91,162.5,-0.31
ALPEXSOLAR,2.0704010038884237,7861145354.6,1052.15,-1.16
ALUWIND,0.09482644708618623,360048359.04,52.0,-0.86
AMBANIORGO,0.10783719454789227,409449116.08,137.95,0.0
AMBEY,0.06031403378034061,229007513.8,30.75,-2.38
AMCL,0.29381389998426627,1115587642.51,514.0,1.81
AMEYA,0.06322071267573191,240043938.75,115.5,5.0
AMIABLE,0.009983890299632927,37908024.92,72.9,0.55
ANLON,0.0,0.0,586.0,-0.93
ANNAPURNA,0.5483350600105218,2081983925.66,158.7,1.15
ANONDITA,1.0476825644836727,3977966060.4,970.0,-2.19
ANYA,0.14664538918487294,556800696.0,17.4,3.57
APEXECO,0.15657774177750844,594513036.41,169.9,19.99
APRAMEYA,0.32275549603228054,1225476544.66,243.15,9.77
APS,0.47956191576705226,1820857852.8,370.0,2.31
ARABIAN,0.053278831486897604,202295419.03,69.95,0.0
ARCIIL,0.06277370030495094,238346668.89,64.5,-0.92
ARHAM,0.3618954280064674,1374087704.45,144.9,-0.58
ARIHANTACA,0.2699286660978996,1024897339.01,480.0,0.09
ARISTO,0.05814488008402984,220771412.45,122.0,0.0
ARUNAYA,0.028166225192531775,106944881.65,18.25,1.11
