Symbol,WeightPct,FFMC,LastPrice,PChange
AXISBANK,6.481205449582891,3709584243822.28,1296.0,0.14
BHARTIARTL,9.784326142141381,5600159164163.2,1829.6,-0.22
HDFCBANK,21.21765512811116,12144141975805.07,795.55,-0.13
ICICIBANK,15.952281841482552,9130451708791.97,1279.0,-0.04
INFY,7.122348755538304,4076549174081.88,1165.9,-0.11
ITC,5.164625434597813,2956026203221.32,307.55,-1.01
KOTAKBANK,4.879860346453429,2793037991786.2,380.45,1.02
LT,8.229620935164121,4710307733830.52,4023.0,0.36
RELIANCE,16.89276481183738,9668746758308.72,1435.5,-0.17
TCS,4.275311155090945,2447018077383.07,2403.0,-1.33
