Symbol,WeightPct,FFMC,LastPrice,PChange
360ONE,0.1380397231329397,288644816544.38,1113.0,2.67
3MINDIA,0.044122296948863576,92260923300.0,32760.0,0.72
AADHARHFC,0.025591299545485263,53512103579.96,501.0,0.18
AARTIDRUGS,0.006664856387595262,13936396028.84,397.25,-0.8
AARTIIND,0.047931305016290976,100225662795.89,489.0,-1.78
AARTIPHARM,0.019118583869118574,39977479005.63,780.0,-1.07
AAVAS,0.02694862455649573,56350307105.02,1418.0,-1.21
ABB,0.17979614397488328,375958628539.39,7188.0,0.08
ABBOTINDIA,0.06612708177817098,138273527034.63,26625.0,1.24
ABCAPITAL,0.14508928348885738,303385639037.14,368.85,-0.12
ABDL,0.014604120933343364,30537614187.6,572.0,4.99
ABFRL,0.01567525398623103,32777382542.16,67.51,1.96
ABLBL,0.030560792597629213,63903448750.75,118.55,10.18
ABREL,0.039581901480149034,82766832850.08,1586.0,2.34
ABSLAMC,0.03793991175495655,79333387663.15,1092.0,2.37
ACC,0.04051558877438732,84719198383.99,1416.8,0.2
ACE,0.01780267194645632,37225871374.98,907.0,2.19
ACI,0.017086957611593165,35729293229.24,622.85,0.26
ACMESOLAR,0.014388685204926017,30087132218.39,299.2,0.93
ACUTAAS,0.06764277112215154,141442874688.35,2735.0,1.83
ADANIENSOL,0.22963220056511774,480167178696.58,1388.0,-1.37
ADANIENT,0.3443931928414041,720135535704.5,2520.0,-0.8
ADANIGREEN,0.21875368720776822,457419911308.31,1368.2,1.12
ADANIPORTS,0.610406176856474,1276375922361.22,1735.0,-0.76
ADANIPOWER,0.4542669136739588,949884475161.72,230.3,0.52
ADVENZYMES,0.008234082842634192,17217691238.3,361.7,1.62
AEGISLOG,0.04427956617955393,92589777540.0,740.0,0.67
AEGISVOPAK,0.0148643533556357,31081767262.43,216.0,7.43
AEQUS,0.007918708423607788,16558234748.12,203.7,8.6
AETHER,0.019278474049677467,40311813723.11,1215.0,-1.44
AFCONS,0.02480602524512265,51870073653.93,337.0,0.21
AFFLE,0.044881241120766475,93847896211.09,1484.0,3.47
AGARWALEYE,0.016577362989283723,34663717010.09,449.0,-2.02
AHLUCONT,0.012129005194589544,25362079840.5,848.1,-0.53
AIAENG,0.07432742471922178,155420667220.8,4014.0,2.61
AIIL,0.06189826256216621,129430951005.79,490.0,3.3
AJANTPHARM,0.0617148169936503,129047361331.25,3072.0,-0.78
AKUMS,0.009094590817101015,19017036823.67,548.9,-0.59
ALIVUS,0.01639743215754876,34287476745.78,1117.1,-0.7
ALKEM,0.15494567978352178,323995631839.88,5552.5,-0.08
ALKYLAMINE,0.01158374421235656,24221924292.42,1756.0,-0.14
ALOKINDS,0.008478772600005327,17729344177.93,14.32,0.07
AMBER,0.09167310988546551,191690966805.69,8820.0,1.83
AMBUJACEM,0.1314167473710242,274795994043.23,451.85,1.11
ANANDRATHI,0.07352710097061499,153747168489.06,3615.8,-0.07
ANANTRAJ,0.04049617336748661,84678600239.95,556.5,-0.03
ANGELONE,0.09963232660579813,208333905504.32,322.0,1.63
ANTHEM,0.02314425981746374,48395276935.13,780.0,1.46
ANUP,0.012364856247113021,25855250807.83,2188.0,3.12
ANURAS,0.017701381882478114,37014071095.53,1370.0,0.71
APARINDS,0.10311625163832638,215618887530.11,12800.0,3.36
APLAPOLLO,0.17093567747557453,357431152033.75,1970.3,2.9
APLLTD,0.020500197168789508,42866470003.06,772.9,-1.6
APOLLO,0.019934026311343098,41682591337.04,314.1,0.43
APOLLOHOSP,0.38497965103343124,805002923968.83,7845.0,1.09
APOLLOTYRE,0.06339765325543752,132566217737.46,411.0,-0.4
APTUS,0.04678346829279616,97825504979.31,276.95,3.57
ARE&M,0.052664640776404745,110123196644.21,902.0,2.38
ARVIND,0.033491632790738385,70031915330.23,448.0,14.96
ARVINDFASN,0.018851931608684907,39419901874.59,458.5,-4.48
ASAHIINDIA,0.04868280164849319,101797062698.85,842.2,0.1
ASHAPURMIN,0.015857211747084064,33157861170.4,666.0,0.89
ASHOKA,0.00858083675439974,17942763101.5,140.49,1.79
ASHOKLEY,0.2320971987870397,485321557040.73,170.1,1.37
ASIANPAINT,0.5468260351659882,1143428116341.34,2536.0,0.67
ASKAUTOLTD,0.010745828954196929,22469820691.5,455.0,-1.1
ASTERDM,0.08959162143403196,187338517825.3,742.0,1.5
ASTRAL,0.09212248794085792,192630628545.18,1578.2,0.13
ASTRAMICRO,0.04716995872245671,98633666982.49,1168.8,7.41
ATGL,0.0853145127791033,178394967265.92,644.9,-0.94
ATHERENERG,0.08311781054285232,173801603127.0,911.5,1.55
ATLANTAELE,0.007061092196045733,14764935884.2,1618.7,4.99
ATUL,0.0531628392948641,111164943300.17,7005.0,-1.45
AUBANK,0.2798451034773012,585163724765.35,1037.0,1.27
AURIONPRO,0.013508982433308904,28247649789.97,871.5,-1.01
AUROPHARMA,0.19725656840771372,412468851052.28,1479.7,-0.29
AVALON,0.018217873241224255,38094068578.2,1260.0,9.49
AVANTIFEED,0.02747595650535363,57452972556.54,1451.0,7.61
AVL,0.018127518448048455,37905134247.5,555.35,-0.42
AWFIS,0.008550010673121158,17878304926.9,364.3,-0.03
AWL,0.05609394570688639,117293966550.64,211.23,1.65
AXISBANK,1.7740487706863448,3709584243822.28,1296.0,0.14
AXISCADES,0.018311187903675315,38289192076.08,2146.9,-0.44
AZAD,0.030501063794987668,63778554199.46,2251.0,2.58
BAJAJ-AUTO,0.5595760546666052,1170088753990.9,10590.0,2.63
BAJAJELEC,0.008263482508966184,17279166740.44,415.0,-0.75
BAJAJFINSV,0.5034344693534591,1052695171727.5,1829.0,-0.39
BAJAJHFL,0.046360371942863625,96940799000.95,87.8,0.95
BAJAJHLDNG,0.2188719994520711,457667305429.92,10601.0,-0.1
BAJFINANCE,1.2427864304703453,2598700237043.27,973.6,-0.73
BALAMINES,0.008084581392709855,16905079639.21,1534.0,2.79
BALKRISIND,0.08699960444976183,181918539793.44,2271.0,1.82
BALRAMCHIN,0.028699370632311146,60011164779.9,524.1,-0.14
BALUFORGE,0.011615543748339322,24288417987.29,558.0,-0.18
BANCOINDIA,0.013689762788629748,28625666431.21,641.3,0.9
BANDHANBNK,0.08846472305397414,184982142654.49,208.15,-0.35
BANKBARODA,0.23883798026408087,499416714497.2,269.95,-0.13
BANKINDIA,0.08134177474750828,170087863960.56,140.36,-1.39
