Symbol,WeightPct,FFMC,LastPrice,PChange
3MINDIA,0.4360983130153071,92260923300.0,32760.0,0.72
ACUTAAS,0.6685712307371297,141442874688.35,2735.0,1.83
ANANDRATHI,0.7267310840900641,153747168489.06,3615.8,-0.07
ASIANPAINT,5.404748345833308,1143428116341.34,2536.0,0.67
ASTRAZEN,0.24918006549656418,52716514200.0,8572.0,2.26
AVANTIFEED,0.27156832506597983,57452972556.54,1451.0,7.61
BAJFINANCE,12.283518838436,2598700237043.27,973.6,-0.73
BANCOINDIA,0.13530760795659183,28625666431.21,641.3,0.9
BEL,7.443539865660487,1574754682901.26,440.9,0.62
BOSCHLTD,1.5410343190318545,326021094023.07,37695.0,2.87
BRITANNIA,3.268417877088867,691466217755.95,5885.5,1.77
BSE,7.667988615506081,1622239041992.46,3981.0,3.35
CANBK,2.160146619191068,457000441418.69,135.93,-1.53
CHOICEIN,0.257170539857873,54406978299.9,689.0,0.55
CIGNITITEC,0.07666693020030464,16219649459.2,1280.0,0.42
COROMANDEL,1.0965218130252745,231980064744.6,1968.0,-2.48
CUMMINSIND,3.447776927063071,729411403644.0,5415.0,1.7
ECLERX,0.30990429120472796,65563326405.66,1605.0,1.49
EICHERMOT,4.762505416482847,1007555254932.93,7342.0,0.43
FIEMIND,0.12814569888286628,27110493535.53,2265.0,0.38
FORCEMOT,0.4696153241863751,99351779431.77,20696.0,2.59
GABRIEL,0.336134741273363,71112638268.79,1125.0,3.69
GODFRYPHLP,0.4497678020608147,95152839280.27,2342.0,1.47
GRSE,0.4274747024653173,90436512960.0,3096.0,2.48
GVT&D,2.79885116515174,592124722727.64,4792.1,5.02
HBLENGINE,0.4514501036548242,95508746867.39,849.95,-0.55
HDFCAMC,2.726749360815135,576870870921.39,2839.0,0.82
HEROMOTOCO,3.2749723606668626,692852883763.62,5352.5,3.53
HINDCOPPER,0.8790133834447387,185963999238.91,568.25,3.22
IMFA,0.10340377958772819,21876095120.64,1467.9,1.38
INDIANB,1.4325405533921662,303068161871.14,860.0,-0.79
JAMNAAUTO,0.12119637132162843,25640294367.18,132.1,5.82
LALPATHLAB,0.5676427343343539,120090450275.11,1546.1,-2.53
LTM,1.8587683077988792,393240870602.23,4250.0,-1.53
MARICO,2.0754710140435013,439086477345.12,832.0,2.11
MARUTI,8.516651821772102,1801782160239.04,13770.0,0.35
MCX,3.673754934176886,777219292277.32,3055.0,2.75
MOTILALOFS,0.6532588797772677,138203394976.35,890.0,0.94
MSUMI,0.5140846926089767,108759715364.54,42.9,2.29
MUTHOOTFIN,1.809339755042214,382783770038.87,3579.4,1.3
NAM-INDIA,0.9325221903423035,197284318033.35,1109.7,1.42
NATIONALUM,1.7063900534270589,361003739616.83,403.7,-0.7
NESCO,0.12908418554204157,27309039696.1,1305.0,1.98
PERSISTENT,2.558825402668567,541344892121.63,4989.5,-0.49
POLYCAB,2.2463309624367147,475233594000.43,9030.0,7.3
POWERINDIA,2.089192117450643,441989312855.5,34850.0,4.4
PRICOLLTD,0.21557140845938888,45606269476.32,620.8,5.96
SOLARINDS,1.829111479023358,386966674341.16,15930.0,1.21
TDPOWERSYS,0.6716953714623449,142103817643.7,1250.0,7.37
TORNTPHARM,2.1455923177864245,453921334608.36,4352.0,-0.14
