Symbol,WeightPct,FFMC,LastPrice,PChange
ADANIPORTS,5.486304878176802,1276375922361.22,1735.0,-0.76
APOLLOTYRE,0.569815423742102,132566217737.46,411.0,-0.4
ASHOKLEY,2.0860797976753,485321557040.73,170.1,1.37
BAJAJ-AUTO,5.029445891649587,1170088753990.9,10590.0,2.63
BALKRISIND,0.7819487619706877,181918539793.44,2271.0,1.82
BHARATFORG,2.2816598058345554,530822785800.85,1997.0,6.57
BOSCHLTD,1.4013513473510282,326021094023.07,37695.0,2.87
CONCOR,0.7801811307194118,181507304541.51,527.25,0.58
DELHIVERY,1.1583735218864692,269492874579.0,483.9,2.74
EICHERMOT,4.33082073496434,1007555254932.93,7342.0,0.43
ETERNAL,7.95356153696774,1850377379351.46,257.6,0.61
EXIDEIND,0.7120810914568126,165663990625.0,365.15,3.82
GMRAIRPORT,1.5401688345745195,358316655831.81,100.7,1.48
HEROMOTOCO,2.9781211706181465,692852883763.62,5352.5,3.53
HYUNDAI,1.1254157954558002,261825337064.05,1841.4,0.08
INDIGO,4.383184496495956,1019737560857.83,4520.0,0.0
IRCTC,0.7369791382750316,171456462640.0,569.95,-0.49
M&M,12.892573751396972,2999426951098.99,3366.0,1.98
MARUTI,7.744682488874033,1801782160239.04,13770.0,0.35
MAZDOCK,0.8753089341374051,203638564200.96,2688.0,1.64
MOTHERSON,2.4850839973962264,578148945374.65,131.0,2.82
MRF,1.134355719035354,263905189252.01,130395.0,0.05
SCHAEFFLER,0.730469397663562,169941986802.11,4234.8,0.98
SONACOMS,1.1126062996801405,258845238008.55,579.0,-0.62
SWIGGY,1.645981727537962,382933776435.36,279.85,0.0
TIINDIA,1.3823973233564613,321611484933.58,3018.5,3.48
TMCV,3.890531881493698,905123089033.92,434.3,1.06
TMPV,3.2191941375186746,748937942344.3,358.6,0.13
TVSMOTOR,18.658224288508105,4340791983798.97,3707.1,2.47
UNOMINDA,0.8930966955870834,207776845053.23,1147.0,1.69
