Symbol,WeightPct,FFMC,LastPrice,PChange
AQYLON,1.2209468003384105,5290003579.85,51.0,-2.86
BAGFILMS,0.13327874405884763,577457619.77,5.24,1.55
BALAJITELE,1.2247114197445295,5306314569.1,129.0,17.72
BTML,0.20123804446753688,871905291.32,6.35,-0.31
CINELINE,0.20357633710030623,882036425.94,85.1,-0.39
CREATIVEYE,0.014296450226971257,61942316.29,7.06,1.29
CYBERMEDIA,0.029320155443969993,127035614.67,19.3,19.95
DEN,0.7738628784075999,3352920369.63,28.24,1.51
DGCONTENT,0.14355234554936244,621970115.03,32.49,0.9
DISHTV,1.1311698018226588,4901026235.87,3.74,0.0
DNAMEDIA,0.030833578696117345,133592832.74,3.0,-1.32
ENIL,0.38145519775094605,1652733240.38,120.25,-0.5
GTPL,0.4313433703805346,1868884027.4,68.65,2.45
HATHWAY,1.1347331667791631,4916465248.75,11.11,-0.09
MUKTAARTS,0.08830656725709678,382606397.58,58.35,-0.48
NAZARA,14.353836257433471,62190953090.96,274.5,0.99
NDTV,0.6453147126033572,2795958954.85,80.0,-0.29
NETWORK18,5.260887761399349,22793880194.68,34.98,0.63
NEXTMEDIA,0.01385771416429102,60041401.9,4.46,2.76
ONMOBILE,0.7452465038478692,3228934030.65,58.5,-1.13
PFOCUS,4.721993950423671,20459011723.4,308.5,2.8
PNC,0.027740891590780855,120193128.63,21.01,-1.36
PVRINOX,17.51853902027652,75902679875.42,1067.1,-0.17
RADAAN,0.01973665478430196,85513123.45,3.25,1.25
RADIOCITY,0.12379708856837268,536376393.73,5.98,-1.97
RAJTV,0.016363122637100193,70896600.33,24.0,-0.25
RKSWAMY,0.3287959889141457,1424576368.04,93.0,0.05
SAMBHAAV,0.11575343934427061,501525626.13,7.08,4.89
SAREGAMA,5.89027787076923,25520842524.87,350.0,-0.27
SHEMAROO,0.23370157222553908,1012560214.21,102.37,-1.44
SIGNPOST,1.1131739280895916,4823055405.0,300.0,0.99
SILLYMONKS,0.026679288079144436,115593512.68,17.2,2.93
SUNTV,12.983261190181656,56252654214.87,571.0,0.04
TIPSFILMS,0.09558933539501842,414160491.1,385.0,1.26
TIPSMUSIC,6.787625343413346,29408785342.15,644.95,-1.19
TVTODAY,0.6004816794116354,2601710601.02,118.7,0.64
TVVISION,0.03237451047499618,140269237.17,5.34,-0.37
UFO,0.35299087513138405,1529405697.76,74.4,3.61
ZEEL,19.95287280060645,86449932555.82,94.42,-0.12
ZEEMEDIA,0.8964836422104404,3884200093.94,8.49,1.19
