Company Name,Industry,Symbol,Series,ISIN Code,_symbol_norm,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,index_name,is_mapped
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,ADANIENT,6401,25,ADANIENT,ADANI ENTERPRISES,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,ADANIPORTS,3861249,15083,ADANIPORTS,ADANI PORT & SEZ,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,APOLLOHOSP,40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,0,,0.0,0.5,1,EQ,NSE,NSE,NIFTY50,True
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,ASIANPAINT,60417,236,ASIANPAINT,ASIAN PAINTS,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,AXISBANK,1510401,5900,AXISBANK,AXIS BANK,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,BAJAJ-AUTO,4267265,16669,BAJAJ-AUTO,BAJAJ AUTO,0,,0.0,0.5,1,EQ,NSE,NSE,NIFTY50,True
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,BAJFINANCE,81153,317,BAJFINANCE,BAJAJ FINANCE,0,,0.0,0.05,1,EQ,NSE,NSE,NIFTY50,True
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,BAJAJFINSV,4268801,16675,BAJAJFINSV,BAJAJ FINSERV,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,BEL,98049,383,BEL,BHARAT ELECTRONICS,0,,0.0,0.05,1,EQ,NSE,NSE,NIFTY50,True
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,BHARTIARTL,2714625,10604,BHARTIARTL,BHARTI AIRTEL,0,,0.0,0.1,1,EQ,NSE,NSE,NIFTY50,True
